id,season_id,utc_date,status,matchday,home_team_id,away_team_id,home_score,away_score,winner,competition_id
432290,1557,2023-07-22T21:30:00Z,FINISHED,37,4289,1776,2.0,1.0,HOME_TEAM,2013
432287,1557,2023-07-23T00:00:00Z,FINISHED,37,1767,1766,1.0,0.0,HOME_TEAM,2013
432291,1557,2023-07-23T19:00:00Z,FINISHED,37,1771,4250,0.0,1.0,AWAY_TEAM,2013
432292,1557,2023-07-23T19:00:00Z,FINISHED,37,6685,1770,2.0,2.0,DRAW,2013
432296,1557,2023-07-23T19:00:00Z,FINISHED,37,4286,6684,0.0,0.0,DRAW,2013
432294,1557,2023-07-23T21:30:00Z,FINISHED,37,1780,1768,0.0,2.0,AWAY_TEAM,2013
432288,1557,2023-07-24T22:00:00Z,FINISHED,37,4241,1765,2.0,0.0,HOME_TEAM,2013
432280,1557,2023-07-29T19:00:00Z,FINISHED,37,1768,1771,3.0,3.0,DRAW,2013
432281,1557,2023-07-29T19:00:00Z,FINISHED,37,6684,4289,1.0,2.0,AWAY_TEAM,2013
432283,1557,2023-07-29T19:00:00Z,FINISHED,37,1765,6685,1.0,0.0,HOME_TEAM,2013
432279,1557,2023-07-29T21:30:00Z,FINISHED,37,3984,4286,0.0,3.0,AWAY_TEAM,2013
432286,1557,2023-07-29T21:30:00Z,FINISHED,37,1779,1780,3.0,1.0,HOME_TEAM,2013
432282,1557,2023-07-30T00:00:00Z,FINISHED,37,1766,1783,1.0,2.0,AWAY_TEAM,2013
432285,1557,2023-07-30T14:00:00Z,FINISHED,37,1776,1777,0.0,0.0,DRAW,2013
432278,1557,2023-07-30T19:00:00Z,FINISHED,37,1838,1769,1.0,4.0,AWAY_TEAM,2013
432284,1557,2023-07-30T19:00:00Z,FINISHED,37,1770,4241,4.0,1.0,HOME_TEAM,2013
432277,1557,2023-07-30T21:30:00Z,FINISHED,37,4250,1767,1.0,1.0,DRAW,2013
432273,1557,2023-08-05T19:00:00Z,FINISHED,37,6685,1768,1.0,1.0,DRAW,2013
432270,1557,2023-08-05T21:30:00Z,FINISHED,37,6684,1779,2.0,2.0,DRAW,2013
432272,1557,2023-08-05T21:30:00Z,FINISHED,37,4250,3984,1.0,0.0,HOME_TEAM,2013
432276,1557,2023-08-06T00:00:00Z,FINISHED,37,1765,1769,2.0,1.0,HOME_TEAM,2013
